;Таблицы;
BANK_REC;РЕКВИЗИТЫ БАНКА;100
BANK_SCH;РАСЧЕТНЫЕ СЧЕТА;100
S_SCHET;СПРАВОЧНИК ТИПОВ СЧЕТОВ;100
S_VALYUT;КЛАССИФИКАТОР ВАЛЮТ (ОКВ);100
TEL_TRAF;ТЕЛЕФОННЫЙ ТРАФИК;3
TABL_PIL;СООТВ.КЛЮЧЕЙ ПИЛИГРИМА ЛЕГЕНДЕ;0
GR_CEL;ГРУППЫ ЦЕЛЕЙ ПРИЕЗДА/ВЫЕЗДА;100
MDF_DOC;ИЗМЕНЕНИЕ СОСТОЯНИЯ ДОКУМЕНТА;100
ALG_TO;АЛГОРИТМЫ В ТЕХН.ОПЕРАЦИЯХ;100
CONTEXT;КОНТЕКСТЫ В ТЕХН.ОПЕРАЦИЯХ;100
SO_OPTEL;СПИСОК ОПЕРАТОРОВ ТЕЛ.СЕТИ;1
SLJ_TEL;СПИСОК СЛУЖЕБНЫХ ТЕЛ.НОМЕРОВ;1
SO_BAZST;СПИСОК ПОДСИСТ.БАЗОВЫХ СТАНЦИЙ;3
SU_PATRL;ПРОВЕРКИ ЛИЦ ПРИ ПАТРУЛИР-НИИ;10
SOST_PAT;СОСТАВ ПАТРУЛЯ;10
CH_PHOTO;ФОТО ДЕТЕЙ;100
BARCHART;ГИСТОГРАММА;3
CEL_EXP;ЭКСПОРТИРУЕМЫЕ ЦЕЛИ;0
DEL_DOP;ДОПОЛНЕНИЕ К ДОУ;3
GR_ADM;ГРУППЫ СТАТЕЙ АДМНАРУШЕНИЙ;100
GR_PHOTO;ГРУППЫ ВИДОВ ФОТОГРАФИЙ;100
GR_PR_VD;ГРУППЫ ПРИЧИН ВЫДАЧИ;100
GR_SOKR;ГРУППЫ СОКРАЩЕНИЙ;100
LC_NAC;ДАННЫЕ ЛИЦА НА НАЦ.ЯЗЫКЕ;100
O_TRUBKA;МОБИЛЬНЫЕ ТЕЛ. УСТР-ВА;100
PD_V_PAT;ПОДРАЗДЕЛЕНИЯ ПО ВИДАМ ПАТРУЛЯ;10
POINTREG;РЕЕСТР БД;100
PROT_DET;ПРОТОКОЛ ПРИЕМА ДЕТАЛИЗАЦИЙ;3
RSH_P_GR;РЕШЕНИЯ ПРОКУРОРА ПО ГРУППАМ;10
